input_name,preferred_name,cas,pubchem_cid,formula,molecular_weight,canonical_smiles,inchikey,identity_status,tm_C,tb_C,tc_C,pc_MPa,pvap_25C_kPa,pvap_25C_status,pvap_40C_kPa,pvap_40C_status,pvap_60C_kPa,pvap_60C_status,phase_25C_1atm,supply_class,gwp100_ar6,gwp100_ar6_status,gwp100_ar6_source,pfas_flag,pfas_basis,pfas_list_hits,persistence_screen,persistence_basis,reactive_groups,reactivity_flags,ghs_physical_h_codes,kinetics_coverage,kinetics_sources,data_quality,review_required,candidate_id,candidate_source,candidate_family,generation_rule,parent_candidate_id,structure_status,structure_status_reason,heavy_atom_count,element_symbols,amine_class,amine_class_label,amine_detail,amine_substituents,amine_substituent_profile,amine_substituent_count,fluorinated_amine,fluorinated_substituent_count,amine_fluorination_level,unsaturated_amine,cyclic_amine_or_substituent,ring_name,precursor_family,semiconductor_process_roles,semiconductor_relevance_basis,candidate_scope
diethylamine,diethylamine,109-89-7,,C4H11N,73.139,N(CC)CC,,manual_review_required,-127.21817999999999,31.9307,193.02128000000005,4.6983185,71.671103295,value_available,148.732764334,value_available,355.421375971,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Secondary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,5476320c-b9b4-5e5e-83b0-46d69898eeca,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,5,C;N,secondary,secondary_amine,secondary_amine,ethyl; ethyl,alkyl,2,no,0,none,no,no,,volatile_amine,ligand_exchange_candidate; volatile_base_candidate,small volatile secondary amine,semiconductor_amine_curated
isopropylamine,isopropylamine,75-31-0,,C3H9N,59.112,CC(C)N,,manual_review_required,-146.57543999999996,13.695600000000013,171.70024,4.817548,181.075331022,value_available,366.714270936,value_available,851.183712251,value_available,gas,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,f187694b-2f58-53fc-b522-fb59ebecfcb0,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,4,C;N,primary,primary_amine,primary_amine,isopropyl,alkyl,1,no,0,none,no,no,,volatile_amine,nitrogen_source_candidate; volatile_base_candidate,branched volatile primary amine,semiconductor_amine_curated
tert-butylamine,tert-butylamine,75-64-9,,C4H11N,73.139,CC(C)(C)N,,manual_review_required,-127.21817999999999,31.9307,193.02128000000005,4.6983185,71.671103295,value_available,148.732764334,value_available,355.421375971,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,f9334667-fb4c-5d67-8166-58a583ac8723,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,5,C;N,primary,primary_amine,primary_amine,tert-butyl,alkyl,1,no,0,none,no,no,,bulky_amine,sterically_hindered_ligand_candidate; volatile_base_candidate,bulky primary amine used as ligand motif,semiconductor_amine_curated
diisopropylamine,diisopropylamine,108-18-9,,C6H15N,101.19300000000001,N(C(C)C)C(C)C,,manual_review_required,-88.50365999999997,68.40090000000004,235.66336,4.4598595,12.835282693,value_available,27.967656113,value_available,70.839545523,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Secondary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,7bcce7d7-22fa-513f-b919-11f0fc14b9d8,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,7,C;N,secondary,secondary_amine,secondary_amine,isopropyl; isopropyl,alkyl,2,no,0,none,no,no,,bulky_amine,sterically_hindered_ligand_candidate; volatile_base_candidate,bulky secondary amine ligand motif,semiconductor_amine_curated
diisopropylethylamine,diisopropylethylamine,7087-68-5,,C8H19N,129.247,N(CC)(C(C)C)C(C)C,,manual_review_required,-49.789139999999975,104.87110000000001,278.30544,4.2214005,2.631726744,value_available,6.021150732,value_available,16.165234011,value_available,liquid,heated_source_likely,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Tertiary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,8dc3f8e9-6621-5c78-bda8-6ac94b4062a7,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,9,C;N,tertiary,tertiary_amine,tertiary_amine,ethyl; isopropyl; isopropyl,alkyl,3,no,0,none,no,no,,bulky_amine,sterically_hindered_base_candidate; ligand_exchange_candidate,hindered tertiary amine base motif,semiconductor_amine_curated
ethylenediamine,ethylenediamine,107-15-3,,C2H8N2,60.1,NCCN,,manual_review_required,-137.212,22.980000000000018,181.202,4.92915,112.434623645,value_available,233.44518924599998,value_available,558.196464578,value_available,gas,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Diamines / chelating nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,e8d8b5a6-ffe8-5fc7-8767-d9bde537fb93,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,4,C;N,diamine,diamine,diamine_amine,aminoethyl,alkyl,1,no,0,none,no,no,,diamine_ligand,chelating_ligand_candidate; nitrogen_source_candidate,small diamine ligand family,semiconductor_amine_curated
"1,3-diaminopropane","1,3-diaminopropane",109-76-2,,C3H10N2,74.12700000000001,NCCCN,,manual_review_required,-117.85473999999996,41.21510000000001,202.52304000000004,4.8099205,44.941476683,value_available,95.615044793,value_available,235.380123489,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Diamines / chelating nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,268ceb85-4a08-54fc-898c-a51db30f6a77,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,5,C;N,diamine,diamine,diamine_amine,aminopropyl,alkyl,1,no,0,none,no,no,,diamine_ligand,chelating_ligand_candidate; nitrogen_source_candidate,small diamine ligand family,semiconductor_amine_curated
"N,N-dimethylethylenediamine","N,N-dimethylethylenediamine",108-00-9,,C4H12N2,88.154,CN(C)CCN,,manual_review_required,-98.49747999999997,59.450199999999995,223.84408000000002,4.690691,18.785045088,value_available,40.952948264,value_available,103.793492812,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Diamines / chelating nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,7f5a1e3f-a758-5977-a6a7-874694ddd867,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,6,C;N,diamine,diamine,diamine_amine,dimethylaminoethyl,alkyl,1,no,0,none,no,no,,diamine_ligand,chelating_ligand_candidate; surface_chemistry_modifier,tertiary/primary diamine ligand motif,semiconductor_amine_curated
tetramethylethylenediamine,tetramethylethylenediamine,110-18-9,,C6H16N2,116.208,CN(C)CCN(C)C,,manual_review_required,-59.782959999999974,95.92040000000003,266.48616000000004,4.452232,3.654957011,value_available,8.366489628,value_available,22.475586444,value_available,liquid,heated_source_likely,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Diamines / chelating nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,55234f94-15e9-533a-8ef9-a7b82abeb549,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,8,C;N,diamine,diamine,diamine_amine,dimethylaminoethyl; methyl; methyl,alkyl,3,no,0,none,no,no,,diamine_ligand,chelating_ligand_candidate; volatile_base_candidate,tertiary diamine ligand motif,semiconductor_amine_curated
tris(2-aminoethyl)amine,tris(2-aminoethyl)amine,4097-89-6,,C6H18N4,146.238,N(CCN)(CCN)CCN,,manual_review_required,-2.3415599999999586,150.95940000000002,328.13176,4.436977,0.323744575,value_available,0.8178699380000001,value_available,2.4714289,value_available,liquid,heated_source_required,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Polyamines / multidentate nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,457075c3-248b-577d-87dc-f7f6a766162e,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,10,C;N,polyamine,polyamine,polyamine_amine,aminoethyl; aminoethyl; aminoethyl,alkyl,3,no,0,none,no,no,,polyamine_ligand,multidentate_ligand_candidate; nitrogen_source_candidate,multidentate amine ligand motif,semiconductor_amine_curated
pyrrolidine,pyrrolidine,123-75-1,,C4H9N,71.123,C1CCNC1,,manual_review_required,-118.00025999999997,41.30990000000003,201.95696000000004,4.7154545,46.137152384000004,value_available,95.409306928,value_available,227.044391012,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,3f5a6f2e-d910-51f3-ad71-fe1bee1a6daf,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,5,C;N,cyclic,cyclic_amine,cyclic_amine,,cyclic_ring,0,no,0,none,no,yes,,cyclic_amine,volatile_base_candidate; ligand_exchange_candidate,small saturated cyclic amine,semiconductor_amine_curated
piperidine,piperidine,110-89-4,,C5H11N,85.15,C1CCNCC1,,manual_review_required,-98.64299999999997,59.545000000000016,223.27800000000002,4.596225,19.895483153,value_available,42.158823393,value_available,103.288012016,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,20046e71-ea09-55ed-b3ca-4e5243754b63,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,6,C;N,cyclic,cyclic_amine,cyclic_amine,,cyclic_ring,0,no,0,none,no,yes,,cyclic_amine,volatile_base_candidate; ligand_exchange_candidate,small saturated cyclic amine,semiconductor_amine_curated
morpholine,morpholine,110-91-8,,C4H9NO,87.122,C1COCCN1,,manual_review_required,-95.92163999999997,62.108600000000024,226.27544,4.699463,17.727846183,value_available,37.694617404999995,value_available,92.729513375,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,23d4cd50-ca6d-5c10-be64-6bfb9d652fa7,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,6,C;N;O,cyclic,cyclic_amine,cyclic_amine,,cyclic_ring,0,no,0,none,no,yes,,cyclic_amine,oxygenated_ligand_candidate; volatile_base_candidate,oxygen-containing cyclic amine,semiconductor_amine_curated
piperazine,piperazine,110-85-0,,C4H10N2,86.13799999999999,C1CNCCN1,,manual_review_required,-89.27955999999998,68.82940000000002,232.77976,4.707827,12.710446307,value_available,27.612843184000003,value_available,69.691405449,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,b3593dce-20a4-5402-874a-3a3dcd0e92f0,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,6,C;N,cyclic,cyclic_amine,cyclic_amine,,cyclic_ring,0,no,0,none,no,yes,,cyclic_amine,diamine_ligand_candidate; nitrogen_source_candidate,cyclic diamine ligand motif,semiconductor_amine_curated
N-methylpyrrolidine,N-methylpyrrolidine,120-94-5,,C5H11N,85.15,CN1CCCC1,,manual_review_required,-98.64299999999997,59.545000000000016,223.27800000000002,4.596225,19.895483153,value_available,42.158823393,value_available,103.288012016,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,fc25af01-44f5-5655-a7f3-94af53d71ade,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,6,C;N,cyclic,cyclic_amine,cyclic_amine,methyl,cyclic_ring,1,no,0,none,no,yes,,cyclic_amine,volatile_base_candidate; surface_chemistry_modifier,N-alkyl cyclic amine motif,semiconductor_amine_curated
N-methylpiperidine,N-methylpiperidine,626-67-5,,C6H13N,99.177,CN1CCCCC1,,manual_review_required,-79.28573999999998,77.7801,244.59904000000006,4.4769955,8.880483746,value_available,19.282558232,value_available,48.637079509,value_available,liquid,heated_source_likely,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,13155b79-ca53-54f6-9129-a020f85a9ee5,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,7,C;N,cyclic,cyclic_amine,cyclic_amine,methyl,cyclic_ring,1,no,0,none,no,yes,,cyclic_amine,volatile_base_candidate; surface_chemistry_modifier,N-alkyl cyclic amine motif,semiconductor_amine_curated
2-fluoroethylamine,2-fluoroethylamine,,,C2H6FN,63.074999999999996,FCCN,,manual_review_required,-135.60649999999998,22.847500000000025,181.72400000000005,4.7838625,113.03353280099999,value_available,232.287389836,value_available,548.65340283,value_available,gas,compressed_or_liquefied_gas,,missing,,possible,contains_C_F_bond_but_no_CF2_CF3_screening_motif,,unknown,fluorinated structure requires review,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,a4c8bc40-8e57-538f-9c11-082c8ad53eaf,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,4,C;F;N,primary,primary_amine,fluorinated_primary_amine,fluoroethyl,fluorinated_alkyl,1,yes,1,single_fluorinated_substituent,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; etch_clean_candidate_review,small fluorinated amine candidate,semiconductor_amine_curated
"2,2-difluoroethylamine","2,2-difluoroethylamine",,,C2H5F2N,81.06500000000001,FC(F)CN,,manual_review_required,-105.28029999999998,50.234500000000025,213.0688,4.6309475,29.411336312,value_available,62.845897866,value_available,155.51336859100002,value_available,liquid,bubbler_or_direct_liquid_source,,missing,,possible,contains_C_F_bond_but_no_CF2_CF3_screening_motif,,unknown,fluorinated structure requires review,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,e119596c-ebda-50d5-8539-f29b9b07a5a9,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,5,C;F;N,primary,primary_amine,fluorinated_primary_amine,difluoroethyl,fluorinated_alkyl,1,yes,1,single_fluorinated_substituent,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; etch_clean_candidate_review,small fluorinated amine candidate,semiconductor_amine_curated
"2,2,2-trifluoroethylamine","2,2,2-trifluoroethylamine",753-90-2,,C2H4F3N,99.05499999999999,FC(F)(F)CN,,manual_review_required,-74.95409999999998,77.62150000000003,244.41359999999997,4.4780325,8.315484033999999,value_available,18.475387571,value_available,47.89638118,value_available,liquid,heated_source_likely,,missing,,yes,structure_rule,,likely_persistent,PFAS structure/list screening positive,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,63cad913-7e57-5cc8-bc2c-dc06df05e4ef,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,6,C;F;N,primary,primary_amine,fluorinated_primary_amine,trifluoroethyl,fluorinated_alkyl,1,yes,1,single_fluorinated_substituent,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; etch_clean_candidate_review,small trifluoroethyl amine candidate,semiconductor_amine_curated
"bis(2,2,2-trifluoroethyl)amine","bis(2,2,2-trifluoroethyl)amine",,,C4H5F6N,181.079,N(CC(F)(F)F)CC(F)(F)F,,manual_review_required,54.73902000000004,196.2527,381.09008000000006,3.7808285,0.065540656,value_available,0.17188438199999997,value_available,0.543104516,value_available,solid,solid_or_sublimation_source_review,,missing,,yes,structure_rule,,likely_persistent,PFAS structure/list screening positive,Secondary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,b1304f43-74bf-5b24-8de7-cd2677e08c39,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,11,C;F;N,secondary,secondary_amine,fluorinated_secondary_amine,trifluoroethyl; trifluoroethyl,fluorinated_alkyl,2,yes,2,multiple_fluorinated_substituents,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; pfas_screening_candidate,fluorinated secondary amine candidate,semiconductor_amine_curated
"tris(2,2,2-trifluoroethyl)amine","tris(2,2,2-trifluoroethyl)amine",,,C6H6F9N,263.103,N(CC(F)(F)F)(CC(F)(F)F)CC(F)(F)F,,manual_review_required,184.43214,314.88390000000004,517.76656,3.0836245,0.00090191,value_available,0.002791954,value_available,0.010752095000000001,value_available,solid,solid_or_sublimation_source_review,,missing,,yes,structure_rule,,likely_persistent,PFAS structure/list screening positive,Tertiary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,b8c18890-ba9c-5822-bb3f-0658adc01c91,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,16,C;F;N,tertiary,tertiary_amine,fluorinated_tertiary_amine,trifluoroethyl; trifluoroethyl; trifluoroethyl,fluorinated_alkyl,3,yes,3,multiple_fluorinated_substituents,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; pfas_screening_candidate,fluorinated tertiary amine candidate,semiconductor_amine_curated
